state,participation_2020
Alabama,0.07
Alaska,0.37
Arizona,0.29
Arkansas,0.04
California,0.67
Colorado,1
Connecticut,1
Delaware,1
District of Columbia,1
Florida,1
Georgia,0.68
Hawaii,0.51
Idaho,1
Illinois,0.98
Indiana,0.64
Iowa,0.03
Kansas,0.04
Kentucky,0.04
Louisiana,0.05
Maine,0.98
Maryland,0.88
Massachusetts,0.8
Michigan,1
Minnesota,0.04
Mississippi,0.03
Missouri,0.04
Montana,0.1
Nebraska,0.03
Nevada,0.17
New Hampshire,0.93
New Jersey,0.82
New Mexico,0.19
New York,0.79
North Carolina,0.48
North Dakota,0.02
Ohio,0.21
Oklahoma,0.2
Oregon,0.51
Pennsylvania,0.67
Rhode Island,1
South Carolina,0.68
South Dakota,0.68
Tennessee,0.68
Texas,0.68
Utah,0.68
Vermont,0.68
Virginia,0.68
Washington,0.68
West Virginia,0.68
Wisconsin,0.68
Wyoming,0.68
